TimeStamp,Value
20221003134330,8.688867092132568
20221003134331,8.672511577606201
20221003134332,8.676600456237793
20221003134333,8.672511577606201
20221003134334,8.746111392974854
20221003134335,8.64797830581665
20221003134336,8.656156063079834
20221003134337,8.676600456237793
20221003134338,8.60300064086914
20221003134339,9.55570936203003
20221003134340,8.709311485290527
20221003134341,9.49028730392456
20221003134342,8.6234450340271
20221003134343,8.660244941711426
20221003134344,8.639800548553467
20221003134345,8.688867092132568
20221003134346,8.725666999816895
20221003134347,8.664333820343018
20221003134348,9.506642818450928
20221003134349,9.584331512451172
20221003134350,8.729755878448486
20221003134351,8.660244941711426
20221003134352,9.592509269714355
20221003134353,9.633398056030273
20221003134354,8.721578121185303
20221003134355,8.701133728027344
20221003134356,9.55570936203003
20221003134357,9.547531604766846
